date,jobs,jobloss_from_feb2020
2020-02-01,4715100,0
2020-03-01,4646300,-68800
2020-04-01,3743300,-971800
2020-05-01,3791900,-923200
2020-06-01,3862100,-853000
2020-07-01,3941400,-773700
2020-08-01,4018000,-697100
2020-09-01,4063200,-651900
2020-10-01,4092700,-622400
2020-11-01,4100899,-614201
2020-12-01,4110700,-604400
2021-01-01,4116700,-598400
2021-02-01,4128399,-586701
2021-03-01,4147200,-567900
2021-04-01,4165300,-549800
2021-05-01,4184800,-530300
2021-06-01,4210000,-505100
2021-07-01,4272900,-442200
2021-08-01,4286900,-428200
2021-09-01,4295100,-420000
2021-10-01,4340400,-374700
2021-11-01,4362000,-353100
2021-12-01,4391400,-323700
2022-01-01,4398000,-317100
2022-02-01,4411900,-303200
